name,party,state
Delegado Marcelo Freitas,PSL,Minas Gerais
Diego Andrade,PSD,Minas Gerais
Dimas Fabiano,PP,Minas Gerais
Domingos Sávio,PSDB,Minas Gerais
Doutor Frederico,PATRI,Minas Gerais
Dr. Mário Heringer,PDT,Minas Gerais
Eduardo Barbosa,PSDB,Minas Gerais
Emidinho Madeira,PSB,Minas Gerais
Eros Biondini,PROS,Minas Gerais
Euclydes Pettersen ,PSC,Minas Gerais
Fabio Ramalho,MDB,Minas Gerais
Franco Cartafina,PHS,Minas Gerais
Fred Costa,PATRI,Minas Gerais
Gilberto Abramo,PRB,Minas Gerais
Greyce Elias,AVANTE,Minas Gerais
Hercílio Coelho Diniz,MDB,Minas Gerais
Igor Timo,PODE,Minas Gerais
Julio Delgado,PSB,Minas Gerais
Lafayette Andrada,PRB,Minas Gerais
Léo Motta,PSL,Minas Gerais
Leonardo Monteiro,PT,Minas Gerais
Lincoln Portela,PR,Minas Gerais
Lucas Gonzalez,NOVO,Minas Gerais
Luis Tibe,AVANTE,Minas Gerais
Marcelo Álvaro Antônio,PSL,Minas Gerais
Marcelo Aro,PHS,Minas Gerais
Margarida Salomão,PT,Minas Gerais
Mauro Lopes,MDB,Minas Gerais
Misael Varella,PSD,Minas Gerais
Newton Cardoso Jr,MDB,Minas Gerais
Odair Cunha,PT,Minas Gerais
Padre João,PT,Minas Gerais
Patrus Ananias,PT,Minas Gerais
Paulo Abi Ackel,PSDB,Minas Gerais
Paulo Guedes,PT,Minas Gerais
Pinheirinho,PP,Minas Gerais
Reginaldo Lopes,PT,Minas Gerais
Rodrigo de Castro,PSDB,Minas Gerais
Rogério Correia,PT,Minas Gerais
Stefano Aguiar,PSD,Minas Gerais
Subtenente Gonzaga,PDT,Minas Gerais
Tiago Mitraud,NOVO,Minas Gerais
Vilson da Fetaemg,PSB,Minas Gerais
Weliton Prado,PROS,Minas Gerais
Zé Silva,SD,Minas Gerais
Zé Vitor,PMN,Minas Gerais
Airton Faleiro,PT,Pará
Beto Faro,PT,Pará
Cássio Andrade,PSB,Pará
Celso Sabino,PSDB,Pará
Cristiano Vale,PR,Pará
Delegado Éder Mauro,PSD,Pará
Edmilson Rodrigues,PSOL,Pará
Eduardo Costa,PTB,Pará
Elcione,MDB,Pará
Hélio Leite,DEM,Pará
Joaquim Passarinho,PSD,Pará
Júnior Ferrari,PSD,Pará
Nilson Pinto,PSDB,Pará
Olival Marques,DEM,Pará
Paulo Bengtson,PTB,Pará
Priante,MDB,Pará
Vavá Martins,PRB,Pará
Aguinaldo Ribeiro,PP,Paraíba
Dr Damião,PDT,Paraíba
Edna Henrique,PSDB,Paraíba
Efraim Filho,DEM,Paraíba
Frei Anastácio,PT,Paraíba
Gervásio Maia,PSB,Paraíba
Hugo,PRB,Paraíba
Julian Lemos,PSL,Paraíba
Pedro Cunha Lima,PSDB,Paraíba
Ruy Carneiro,PSDB,Paraíba
Wellington Roberto,PR,Paraíba
Wilson Santiago,PTB,Paraíba
Aliel Machado,PSB,Paraná
Aline Sleutjes,PSL,Paraná
Aroldo Martins,PRB,Paraná
Boca Aberta,PROS,Paraná
Christiane Yared,PR,Paraná
Diego Garcia,PODE,Paraná
Enio Verri,PT,Paraná
Felipe Francischini,PSL,Paraná
Filipe Barros,PSL,Paraná
Giacobo,PR,Paraná
Gleisi Lula,PT,Paraná
Gustavo Fruet,PDT,Paraná
Hermes Frangão Parcianello,MDB,Paraná
Leandre,PV,Paraná
Luciano Ducci,PSB,Paraná
Luisa Canziani,PTB,Paraná
Luiz Nishimori,PR,Paraná
Luizão Goulart,PRB,Paraná
Ney Leprevost,PSD,Paraná
Paulo Martins,PSC,Paraná
Pedro Lupion,DEM,Paraná
Ricardo Barros,PP,Paraná
Rubens Bueno,PPS,Paraná
Sandro Alex,PSD,Paraná
Sargento Fahur,PSD,Paraná
Schiavinato,PP,Paraná
Sérgio Souza,MDB,Paraná
Toninho Wandscheer,PROS,Paraná
Vermelho,PSD,Paraná
Zeca Dirceu,PT,Paraná
André de Paula,PSD,Pernambuco
Andre Ferreira,PSC,Pernambuco
Augusto Coutinho,SD,Pernambuco
Bispo Ossesio,PRB,Pernambuco
Carlos Veras,PT,Pernambuco
Daniel Coelho,PPS,Pernambuco
Danilo Cabral,PSB,Pernambuco
Eduardo da Fonte,PP,Pernambuco
Felipe Carreras,PSB,Pernambuco
Fernando Filho,DEM,Pernambuco
Fernando Monteiro,PP,Pernambuco
Fernando Rodolfo,PHS,Pernambuco
Gonzaga Patriota,PSB,Pernambuco
João Campos,PSB,Pernambuco
Luciano Bivar,PSL,Pernambuco
Marília Arraes,PT,Pernambuco
Pastor Eurico,PATRI,Pernambuco
Raul Henry,MDB,Pernambuco
Renildo Calheiros,PC do B,Pernambuco
Ricardo Teobaldo,PODE,Pernambuco
Sebastião Oliveira,PR,Pernambuco
Silvio Costa Filho,PRB,Pernambuco
Tadeu Alencar,PSB,Pernambuco
Túlio Gadêlha,PDT,Pernambuco
Wolney Queiroz,PDT,Pernambuco
Assis Carvalho,PT,Piauí
Átila Lira,PSB,Piauí
Capitão Fábio Abreu,PR,Piauí
Dra. Marina,PTC,Piauí
Flavio Nogueira,PDT,Piauí
Iracema Portella,PP,Piauí
Júlio Cesar,PSD,Piauí
Marcos Aurélio Sampaio,MDB,Piauí
Margarete Coelho,PP,Piauí
Rejane Dias,PT,Piauí
Alessandro Molon,PSB,Rio de Janeiro
Alexandre Serfiotis,PSD,Rio de Janeiro
Altineu Cortes,PR,Rio de Janeiro
Aureo,SD,Rio de Janeiro
Benedita da Silva ,PT,Rio de Janeiro
Carlos Jordy,PSL,Rio de Janeiro
Chico d Angelo,PDT,Rio de Janeiro
Chiquinho Brazão,AVANTE,Rio de Janeiro
Chris Tonietto,PSL,Rio de Janeiro
Christino Aureo,PP,Rio de Janeiro
Clarisse Garotinho,PROS,Rio de Janeiro
Daniel Silveira,PSL,Rio de Janeiro
